Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Диаметр;Высота;Вес;Долговечность;Упаковка;"Срок годности"
"По случаю/Свадьба, Букеты/Розы, По случаю/На свадьбу, Композиции/Корзины с цветами, Композиции/Цветы в корзинах, Стиль/Нежный, Кому/Невесте, Кому/Молодоженам";"Свадебные лепестки";890.00;svadebnye-lepestki;1;;;"Малый (15-20см)";;;;"Свадебные лепестки";"Свадебные лепестки, Свадьба";"корзина средняя 1 шт. лепестки 1 шт. лента 1 шт.";"<p>корзина средняя 1 шт.<br />лепестки 1 шт.<br />лента 1 шт.</p>";;svadebnye-lepestki_b.jpg;;;;;;
"По случаю/Свадьба, Букеты/Розы, Букеты/Хризантемы, По случаю/На свадьбу, Композиции/Авторские букеты, Стиль/Белый, Стиль/Оранжевый, Стиль/Разноцветный, Кому/Семье, Кому/Молодоженам";"Плесните колдовства…";1820.00;plesnite-koldovstva;1;;;"Малый (15-20см)";;;;"Плесните колдовства…";"Плесните колдовства…, Свадьба";"бокал 2 шт. роза кустовая 2 шт. хризантема кустовая 1 шт. берграсс 1 шт. декор 1 шт. лента 1 шт.";"<p>бокал 2 шт.<br />роза кустовая 2 шт.<br />хризантема кустовая 1 шт.<br />берграсс 1 шт.<br />декор 1 шт.<br />лента 1 шт.</p>";;plesnite-koldovstva_b.jpg;;;;;;
"Букеты, Букеты/Тюльпаны, Стиль/Желтый, По случаю/День рождения, По случаю/Поздравление, По случаю/8 марта, По случаю/Благодарность, Композиции/Летние, Композиции/Весенние, Кому/Женщине, Кому/Семье, Кому/Любимой, Кому/Бабушке, Кому/Учителю, Кому/Мужчине";"Счастье есть!";1840.00;schaste-est;1;1;;"Малый 15-20 см";;;;"Счастье есть!";"Счастье есть!, Букеты";;;;schaste-est_b1_1.jpg;;;;;;
"Букеты, Букеты/Тюльпаны, Стиль/Желтый, По случаю/День рождения, По случаю/Поздравление, По случаю/8 марта, По случаю/Благодарность, Композиции/Летние, Композиции/Весенние, Кому/Женщине, Кому/Семье, Кому/Любимой, Кому/Бабушке, Кому/Учителю, Кому/Мужчине";"Счастье есть!";3680.00;schaste-est;1;1;;"Средний 25-30 см";;;;"Счастье есть!";"Счастье есть!, Букеты";;;;schaste-est_b1_1.jpg;;;;;;
"Букеты, Букеты/Тюльпаны, Стиль/Желтый, По случаю/День рождения, По случаю/Поздравление, По случаю/8 марта, По случаю/Благодарность, Композиции/Летние, Композиции/Весенние, Кому/Женщине, Кому/Семье, Кому/Любимой, Кому/Бабушке, Кому/Учителю, Кому/Мужчине";"Счастье есть!";7230.00;schaste-est;1;1;;"Большой 35-40 см";;;;"Счастье есть!";"Счастье есть!, Букеты";;;;schaste-est_b1_1.jpg;;;;;;
"По случаю/Свадьба, Букеты, Букеты/Хризантемы, По случаю/На свадьбу, Композиции/Авторские букеты, Стиль/Белый, Стиль/Нежный, Стиль/Розовый, Кому/Семье, Кому/Молодоженам";"Твой наряд подвенечный";2170.00;tvoj-naryad-podvenechnyj;1;;;"Малый (15-20см)";;;;"Твой наряд подвенечный";"Твой наряд подвенечный, Свадьба, Букеты";"берграсс 1 шт. ваза на ножке1 шт. гипсофила 2 шт. лента 3 шт. пиафлор малый 1 шт. поддон 1 шт. рускус 3 шт. трахелиум 1 шт. хризантема кустовая 1 шт. эустома (лизиантус) 2 шт.";"<p>берграсс 1 шт.<br />ваза на ножке1 шт.<br />гипсофила 2 шт.<br />лента 3 шт.<br />пиафлор малый 1 шт.<br />поддон 1 шт.<br />рускус 3 шт.<br />трахелиум 1 шт.<br />хризантема кустовая 1 шт.<br />эустома (лизиантус) 2 шт.</p>";;tvoj-narjad-podvenechnyj_b.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/Поздравление, По случаю/На свадьбу, По случаю/Проф. праздник, По случаю/Благодарность, Композиции/Осенние, Композиции/Зимние, Композиции/Авторские букеты, Стиль/Разноцветный, Кому/Любимой, Кому/Бабушке, Кому/Семье, Кому/Женщине";"Весеннее настроение";8270.00;vesennee-nastroenie;1;;;"Букет средний (30-35см)";;;;"Весеннее настроение";"Весеннее настроение, Букеты";"амариллис 3 шт. брассика 2 шт. гиперикум 8 шт. лента 2 шт. роза кустовая 6 шт. тласпия 4 шт. фисташки зелень 12 шт. эустома (лизиантус) 8 шт. озотамнус 7 шт. эвкалипт мини 8 шт. шамелациум 5 шт. протея 1 шт.";"<p>амариллис 3 шт.<br />брассика 2 шт.<br />гиперикум 8 шт.<br />лента 2 шт.<br />роза кустовая 6 шт.<br />тласпия 4 шт.<br />фисташки зелень 12 шт.<br />эустома (лизиантус) 8 шт.<br />озотамнус 7 шт.<br />эвкалипт мини 8 шт.<br />шамелациум 5 шт.<br />протея 1 шт.</p>";;vesennee-nastroenie_bz.jpg;;;;;;
"По случаю/Свадьба, Букеты/Каллы, Букеты, По случаю/Поздравление, По случаю/На свадьбу, По случаю/Сказать люблю, Композиции/Летние, Стиль/Белый, Стиль/Нежный, Кому/Женщине, Кому/Любимой, Кому/Учителю, Кому/Жене";Бомонд;6860.00;bomond;1;;;"Букет средний (25-30см)";;;;Бомонд;"Бомонд, Свадьба";"калла 35 шт. лента 1 шт. бутоньерка 1 шт.";"<p>калла 35 шт.<br />лента 1 шт.<br />бутоньерка 1 шт.</p>";;bomond_b.jpg;;;;;;
"Букеты, Букеты/Хризантемы, По случаю/Поздравление, По случаю/Проф. праздник, По случаю/Бизнес-поздравления, Композиции/Осенние, Стиль/Белый, Стиль/Желтый, Кому/Мужчине, Кому/Деловому партнеру, Кому/Семье, Кому/Женщине";"Именинный пирог";18450.00;imeninnyj-pirog;1;;;;;;;"Именинный пирог";"Именинный пирог, Букеты";"ведро 1 шт. декор 1 шт. каркас 2 шт. хризантема кустовая 150 шт.";"<p>ведро 1 шт.<br />декор 1 шт.<br />каркас 2 шт.<br />хризантема кустовая 150 шт.</p>";;imeninnyj-pirog_b.jpg;;;;;;
"Букеты, Букеты/Розы, По случаю/Поздравление, По случаю/Сказать люблю, По случаю/День рождения, Композиции/Сердца из цветов, Композиции/Цветочные сердца, Стиль/Красный, Стиль/Желтый, Стиль/Яркий, Кому/Женщине, Кому/Любимой, Кому/Жене";"Красота сердца";13690.00;krasota-serdtsa;1;;;"Большой (35-50 см)";;;;"Красота сердца";"Красота сердца, Букеты, Розы";"декор 2 шт. каркас 1 шт. лента большая 1 шт. роза 60 см 83 шт.";"<p>декор 2 шт.<br />каркас 1 шт.<br />лента большая 1 шт.<br />роза 60 см 83 шт.</p>";;krasota--serdca_b.jpg;;;;;;
